,ds,y
441,2019-03-18,27565.76
442,2019-03-19,27565.76
443,2019-03-20,27565.76
444,2019-03-21,27565.76
445,2019-03-22,27565.76
446,2019-03-23,27565.76
447,2019-03-24,27565.76
448,2019-03-25,27565.76
449,2019-03-26,27565.76
450,2019-03-27,27565.76
451,2019-03-28,27565.76
452,2019-03-29,27565.76
453,2019-03-30,27565.76
454,2019-03-31,27565.76
455,2019-04-01,27565.76
456,2019-04-02,27565.76
457,2019-04-03,27565.76
458,2019-04-04,27565.76
459,2019-04-05,27565.76
460,2019-04-06,27565.76
461,2019-04-07,27565.76
462,2019-04-08,27565.76
463,2019-04-09,27565.76
464,2019-04-10,27570.34
465,2019-04-11,27574.93
466,2019-04-12,27579.51
467,2019-04-13,27584.1
468,2019-04-14,27588.68
469,2019-04-15,27593.27
470,2019-04-16,27597.86
471,2019-04-17,27602.45
472,2019-04-18,27607.04
473,2019-04-19,27611.63
474,2019-04-20,27616.22
475,2019-04-21,27620.81
476,2019-04-22,27625.4
477,2019-04-23,27629.99
478,2019-04-24,27634.59
479,2019-04-25,27639.18
480,2019-04-26,27643.78
481,2019-04-27,27648.37
482,2019-04-28,27652.97
483,2019-04-29,27657.57
484,2019-04-30,27662.17
485,2019-05-01,27666.77
486,2019-05-02,27671.37
487,2019-05-03,27675.97
488,2019-05-04,27680.57
489,2019-05-05,27685.17
490,2019-05-06,27689.77
491,2019-05-07,27694.38
492,2019-05-08,27698.98
493,2019-05-09,27703.59
494,2019-05-10,27706.27
495,2019-05-11,27708.94
496,2019-05-12,27711.62
497,2019-05-13,27714.3
498,2019-05-14,27716.98
499,2019-05-15,27719.66
500,2019-05-16,27722.34
501,2019-05-17,27725.01
502,2019-05-18,27727.69
503,2019-05-19,27730.37
504,2019-05-20,27733.05
505,2019-05-21,27735.73
506,2019-05-22,27738.41
507,2019-05-23,27741.09
508,2019-05-24,27743.77
509,2019-05-25,27746.45
510,2019-05-26,27749.14
511,2019-05-27,27751.82
512,2019-05-28,27754.5
513,2019-05-29,27757.18
514,2019-05-30,27759.86
515,2019-05-31,27762.55
516,2019-06-01,27765.23
517,2019-06-02,27767.91
518,2019-06-03,27770.6
519,2019-06-04,27773.28
520,2019-06-05,27775.96
521,2019-06-06,27778.65
522,2019-06-07,27781.33
523,2019-06-08,27784.02
524,2019-06-09,27786.7
525,2019-06-10,27792.24
526,2019-06-11,27797.78
527,2019-06-12,27803.33
528,2019-06-13,27808.87
529,2019-06-14,27814.42
530,2019-06-15,27819.96
531,2019-06-16,27825.51
532,2019-06-17,27831.06
533,2019-06-18,27836.61
534,2019-06-19,27842.16
535,2019-06-20,27847.71
536,2019-06-21,27853.27
537,2019-06-22,27858.82
538,2019-06-23,27864.38
539,2019-06-24,27869.94
540,2019-06-25,27875.49
541,2019-06-26,27881.05
542,2019-06-27,27886.61
543,2019-06-28,27892.17
544,2019-06-29,27897.74
545,2019-06-30,27903.3
546,2019-07-01,27908.86
547,2019-07-02,27914.43
548,2019-07-03,27920.0
549,2019-07-04,27925.56
550,2019-07-05,27931.13
551,2019-07-06,27936.7
552,2019-07-07,27942.27
553,2019-07-08,27947.85
554,2019-07-09,27953.42
555,2019-07-10,27953.42
556,2019-07-11,27953.42
557,2019-07-12,27953.42
558,2019-07-13,27953.42
559,2019-07-14,27953.42
560,2019-07-15,27953.42
561,2019-07-16,27953.42
562,2019-07-17,27953.42
563,2019-07-18,27953.42
564,2019-07-19,27953.42
565,2019-07-20,27953.42
566,2019-07-21,27953.42
567,2019-07-22,27953.42
568,2019-07-23,27953.42
569,2019-07-24,27953.42
570,2019-07-25,27953.42
571,2019-07-26,27953.42
572,2019-07-27,27953.42
573,2019-07-28,27953.42
574,2019-07-29,27953.42
575,2019-07-30,27953.42
576,2019-07-31,27953.42
577,2019-08-01,27953.42
578,2019-08-02,27953.42
579,2019-08-03,27953.42
580,2019-08-04,27953.42
581,2019-08-05,27953.42
582,2019-08-06,27953.42
583,2019-08-07,27953.42
584,2019-08-08,27953.42
585,2019-08-09,27953.42
586,2019-08-10,27955.22
587,2019-08-11,27957.02
588,2019-08-12,27958.83
589,2019-08-13,27960.63
590,2019-08-14,27962.43
591,2019-08-15,27964.23
592,2019-08-16,27966.03
593,2019-08-17,27967.84
594,2019-08-18,27969.64
595,2019-08-19,27971.44
596,2019-08-20,27973.25
597,2019-08-21,27975.05
598,2019-08-22,27976.85
599,2019-08-23,27978.65
600,2019-08-24,27980.46
601,2019-08-25,27982.26
602,2019-08-26,27984.06
603,2019-08-27,27985.87
604,2019-08-28,27987.67
605,2019-08-29,27989.48
606,2019-08-30,27991.28
607,2019-08-31,27993.08
608,2019-09-01,27994.89
609,2019-09-02,27996.69
610,2019-09-03,27998.5
611,2019-09-04,28000.3
612,2019-09-05,28002.11
613,2019-09-06,28003.91
614,2019-09-07,28005.72
615,2019-09-08,28007.52
616,2019-09-09,28009.33
617,2019-09-10,28011.2
618,2019-09-11,28013.06
619,2019-09-12,28014.93
620,2019-09-13,28016.79
621,2019-09-14,28018.66
622,2019-09-15,28020.52
623,2019-09-16,28022.39
624,2019-09-17,28024.26
625,2019-09-18,28026.12
626,2019-09-19,28027.99
627,2019-09-20,28029.86
628,2019-09-21,28031.72
629,2019-09-22,28033.59
630,2019-09-23,28035.46
631,2019-09-24,28037.33
632,2019-09-25,28039.19
633,2019-09-26,28041.06
634,2019-09-27,28042.93
635,2019-09-28,28044.8
636,2019-09-29,28046.66
637,2019-09-30,28048.53
638,2019-10-01,28050.4
639,2019-10-02,28052.27
640,2019-10-03,28054.14
641,2019-10-04,28056.0
642,2019-10-05,28057.87
643,2019-10-06,28059.74
644,2019-10-07,28061.61
645,2019-10-08,28063.48
646,2019-10-09,28065.35
647,2019-10-10,28065.35
648,2019-10-11,28065.35
649,2019-10-12,28065.35
650,2019-10-13,28065.35
651,2019-10-14,28065.35
652,2019-10-15,28065.35
653,2019-10-16,28065.35
654,2019-10-17,28065.35
655,2019-10-18,28065.35
656,2019-10-19,28065.35
657,2019-10-20,28065.35
658,2019-10-21,28065.35
659,2019-10-22,28065.35
660,2019-10-23,28065.35
661,2019-10-24,28065.35
662,2019-10-25,28065.35
663,2019-10-26,28065.35
664,2019-10-27,28065.35
665,2019-10-28,28065.35
666,2019-10-29,28065.35
667,2019-10-30,28065.35
668,2019-10-31,28065.35
669,2019-11-01,28065.35
670,2019-11-02,28065.35
671,2019-11-03,28065.35
672,2019-11-04,28065.35
673,2019-11-05,28065.35
674,2019-11-06,28065.35
675,2019-11-07,28065.35
676,2019-11-08,28065.35
677,2019-11-09,28065.35
678,2019-11-10,28072.81
679,2019-11-11,28080.26
